Method,Accuracy,Precision,Recall,F-score,Time (ms)
Own Code,0.8158333333333333,0.8280688705365458,0.8158333333333333,0.8190677555468711,3747.0115800000713
Scikit-learn,0.8158333333333333,0.8280688705365458,0.8158333333333333,0.8190677555468711,4.594639999595529
GenAI Code,0.8268333333333333,0.8239622069240866,0.8268333333333333,0.8245274828327004,41.910660000030475
